,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
1275,2007,Riverside County,6078,6425,1996364.8,321.83496723644896,304.4533744534065,0,0
1276,2008,Riverside County,5940,5684,2060790.2,275.81652901882006,288.2389483412722,0,0
1277,2009,Riverside County,5825,5881,2125215.6,276.72486499722663,274.08983822629574,0,0
1346,2000,San Benito County,216,151,53234.0,283.65330427922004,405.7557200285531,0,0
1347,2001,San Benito County,237,123,53437.5,230.1754385964912,443.50877192982455,0,0
1348,2002,San Benito County,231,103,53641.0,192.01730019947428,430.6407412240636,0,0
1349,2003,San Benito County,233,110,53844.5,204.2919889682326,432.7275766327109,0,0
1350,2004,San Benito County,247,98,54048.0,181.32030787448195,457.0011841326229,0,0
1351,2005,San Benito County,191,145,54251.5,267.27371593412164,352.0639982304637,0,0
1352,2006,San Benito County,221,128,54455.0,235.05646864383436,405.8396841428703,0,0
1353,2007,San Benito County,210,118,54658.5,215.88590978530328,384.2037377535059,0,0
1354,2008,San Benito County,255,118,54862.0,215.08512267143013,464.80259560351425,0,0
1355,2009,San Benito County,209,111,55065.5,201.57812060182872,379.54799284488473,0,0
1424,2000,San Diego County,10135,9355,2813833.0,332.464648754919,360.18484394773964,0,0
1425,2001,San Diego County,10192,9093,2841981.0,319.9528779397188,358.62308720572025,0,0
1426,2002,San Diego County,9766,9205,2870129.0,320.7172918011699,340.2634515730826,0,0
1427,2003,San Diego County,9602,10367,2898277.0,357.695278953668,331.3002863425408,0,0
1428,2004,San Diego County,9558,11181,2926425.0,382.0702734565212,326.61011302186114,0,0
1429,2005,San Diego County,9215,11584,2954573.0,392.0701908532976,311.88939992344075,0,0
1430,2006,San Diego County,9086,10318,2982721.0,345.9257503467471,304.6211831411654,0,0
1431,2007,San Diego County,10182,8215,3010869.0,272.84481656292587,338.17479272595386,0,0
1432,2008,San Diego County,10443,6848,3039017.0,225.3360214832625,343.63085168658154,0,0
1433,2009,San Diego County,9812,7648,3067165.0,249.35078484528873,319.90453725182704,0,0
1541,2000,San Luis Obispo County,652,582,246681.0,235.93223637004874,264.3089658303639,0,0
1542,2001,San Luis Obispo County,685,563,248976.6,226.12566803466672,275.1262568450208,0,0
1543,2002,San Luis Obispo County,683,758,251272.2,301.6648877193736,271.81677877616386,0,0
1544,2003,San Luis Obispo County,628,701,253567.8,276.45466025260305,247.66551588963583,0,0
1545,2004,San Luis Obispo County,696,731,255863.4,285.6993223727973,272.0201482509808,0,0
1546,2005,San Luis Obispo County,676,812,258159.0,314.53484093136404,261.8541286571454,0,0
1547,2006,San Luis Obispo County,646,670,260454.6,257.24252902425224,248.0278712681596,0,0
1548,2007,San Luis Obispo County,607,548,262750.2,208.5631143192279,231.01790217476523,0,0
1549,2008,San Luis Obispo County,576,461,265045.8,173.9322034154097,217.32093094853795,0,0
1550,2009,San Luis Obispo County,609,522,267341.4,195.2559536233445,227.7986125605686,0,0
1580,2000,San Mateo County,1442,1765,707161.0,249.58955598512927,203.9139601872841,0,0
1581,2001,San Mateo County,1538,1690,708290.0,238.60283217326236,217.1426957884482,0,0
1582,2002,San Mateo County,1477,1711,709419.0,241.183278147329,208.1985399319725,0,0
1583,2003,San Mateo County,1528,1814,710548.0,255.29591245067186,215.04528898821755,0,0
1584,2004,San Mateo County,1416,1781,711677.0,250.25397757690638,198.96666605777622,0,0
1585,2005,San Mateo County,1479,1725,712806.0,242.00132995513508,207.4898359441419,0,0
1586,2006,San Mateo County,1412,1998,713935.0,279.85740998830425,197.7771085603031,0,0
1587,2007,San Mateo County,1310,1686,715064.0,235.783090744325,183.20038486065582,0,0
1588,2008,San Mateo County,1375,1439,716193.0,200.92349408609132,191.98735536370782,0,0
1589,2009,San Mateo County,1446,1487,717322.0,207.29881420059613,201.58311051382782,0,0
1619,2000,Santa Barbara County,1072,923,399347.0,231.1273153422963,268.4382254029704,0,0
1620,2001,Santa Barbara County,1206,1010,401801.8,251.36771413169382,300.1479834087354,0,0
1621,2002,Santa Barbara County,1248,959,404256.6,237.22556415900198,308.7148113351767,0,0
1622,2003,Santa Barbara County,882,768,406711.4,188.83168753076507,216.861391148613,0,0
1623,2004,Santa Barbara County,1197,1153,409166.2,281.792582085226,292.5461585047836,0,0
1624,2005,Santa Barbara County,1222,1294,411621.0,314.36685689019754,296.87503795967655,0,0
1625,2006,Santa Barbara County,1186,1191,414075.8,287.6284970046547,286.420988620924,0,0
1626,2007,Santa Barbara County,1127,1122,416530.6,269.3679648025859,270.56835680259746,0,0
1627,2008,Santa Barbara County,1255,832,418985.4,198.57493841074174,299.5331102229338,0,0
1628,2009,Santa Barbara County,1292,876,421440.2,207.85867128954476,306.56781199325553,0,0
1658,2000,Santa Clara County,5402,5737,1682585.0,340.96345801252244,321.05361690494095,0,0
1659,2001,Santa Clara County,5390,5445,1692490.7,321.7152094247844,318.4655608447361,0,0
1660,2002,Santa Clara County,5251,4985,1702396.4,292.8225177167903,308.44755075844853,0,0
1661,2003,Santa Clara County,5052,5302,1712302.1,309.641622234768,295.0413948566669,0,0
1662,2004,Santa Clara County,4700,5255,1722207.8,305.1315874890359,272.9055111700226,0,0
1663,2005,Santa Clara County,5033,5847,1732113.5,337.56448408259615,290.56987316362347,0,0
1664,2006,Santa Clara County,4856,5228,1742019.2,300.1115027894067,278.7569735167098,0,0
1665,2007,Santa Clara County,4714,4902,1751924.9,279.80651453723846,269.0754609401351,0,0
1666,2008,Santa Clara County,4718,4583,1761830.6,260.1271654607429,267.7896501513823,0,0
1667,2009,Santa Clara County,4309,4325,1771736.3,244.1108194261189,243.20775049876215,0,0
1736,2000,Shasta County,805,731,163256.0,447.76302249228206,493.0906061645514,0,0
1737,2001,Shasta County,742,623,164652.7,378.37217367222036,450.64551021635236,0,0
1738,2002,Shasta County,769,605,166049.4,364.3494044543371,463.1151934303888,0,0
1739,2003,Shasta County,726,612,167446.1,365.4907459773623,433.572355522165,0,0
1740,2004,Shasta County,812,784,168842.8,464.337241505116,480.920714416013,0,0
1741,2005,Shasta County,530,545,170239.5,320.1372184481275,311.3261023440506,0,0
1742,2006,Shasta County,474,517,171636.2,301.21850751764487,276.16551753068404,0,0
1743,2007,Shasta County,479,466,173032.9,269.3129456883633,276.82596777838205,0,0
1744,2008,Shasta County,425,447,174429.6,256.2638451272032,243.65130688828043,0,0
1745,2009,Shasta County,464,434,175826.3,246.83451793048027,263.8968117966425,0,0
1775,2000,Sierra County,16,8,3555.0,225.0351617440225,450.070323488045,0,0
1776,2001,Sierra County,21,14,3523.5,397.33219809848157,595.9982971477224,0,0
1777,2002,Sierra County,22,4,3492.0,114.5475372279496,630.0114547537228,0,0
1778,2003,Sierra County,13,6,3460.5,173.38534893801474,375.6682560323653,0,0
1779,2004,Sierra County,18,8,3429.0,233.30417031204433,524.9343832020998,0,0
1780,2005,Sierra County,13,13,3397.5,382.6342899190582,382.6342899190582,0,0
1781,2006,Sierra County,11,9,3366.0,267.379679144385,326.797385620915,0,0
1782,2007,Sierra County,15,13,3334.5,389.8635477582846,449.842555105713,0,0
1783,2008,Sierra County,14,3,3303.0,90.82652134423252,423.85709960641844,0,0
1784,2009,Sierra County,14,6,3271.5,183.40210912425493,427.9382546232615,0,0
1970,2000,Sutter County,380,253,78930.0,320.5371848473331,481.43924996832635,0,0
1971,2001,Sutter County,398,250,80510.7,310.5177324256279,494.3442300215996,0,0
1972,2002,Sutter County,412,235,82091.4,286.26628367892374,501.87961223709186,0,0
